Month,Category,Revenue,COGS
2024-01-01,Bearings,120000,78000
2024-01-01,Fasteners,90000,60000
2024-01-01,Seals,70000,45500
2024-02-01,Bearings,125000,80000
2024-02-01,Fasteners,92000,61000
2024-02-01,Seals,72000,46800
2024-03-01,Bearings,130000,82000
2024-03-01,Fasteners,94000,62000
2024-03-01,Seals,74000,48000
2024-04-01,Bearings,127000,80500
2024-04-01,Fasteners,96000,63000
2024-04-01,Seals,76000,49000
2024-05-01,Bearings,135000,85000
2024-05-01,Fasteners,98000,64000
2024-05-01,Seals,78000,50000
2024-06-01,Bearings,138000,87000
2024-06-01,Fasteners,99000,65000
2024-06-01,Seals,79000,50500
